StudentID,HighSchoolGPA,SATScore,ACTScore,PreviousCoursework,Age,Gender,Ethnicity,ParentalEducation,HouseholdIncome,FinancialAid,ExtracurricularActivities,WorkExperience,InstitutionType,ProgramOfStudy,SupportServices,Attendance,Engagement,Enrollment
63,3.5,1230,25,AP,20,Female,Black,Master's,58000,Yes,Debate,No,Public,Science,Yes,91,High,1
64,2.8,1010,21,Regular,21,Male,Hispanic,Associate's,30000,Yes,Drama,Yes,Community,Business,Yes,79,Low,0
65,3.6,1300,29,AP,19,Female,White,Doctorate,72000,No,Volunteer,No,Private,Medicine, Yes, 
65,3.6,1300,29,AP,19,Female,White,Doctorate,72000,No,Volunteer,No,Private,Medicine,Yes,95,High,1
66,3.1,1120,24,Honors,20,Male,Asian,High School,46000,Yes,Sports,Yes,Public,Engineering,No,84,Medium,0
67,3.4,1250,26,AP,18,Female,Hispanic,Bachelor's,57000,Yes,Music,No,Community,Arts,Yes,90,High,1
68,2.9,940,20,Regular,22,Male,Black,Associate's,34000,No,Debate,Yes,Public,Science,No,76,Low,0
69,3.7,1350,29,AP,17,Female,White,Master's,65000,Yes,Drama,No,Private,Business,Yes,95,High,1
70,3.2,1140,23,Honors,20,Male,Hispanic,High School,42000,Yes,Volunteer,Yes,Community,Medicine,No,86,Medium,0
71,3.8,1300,27,AP,18,Female,Asian,Bachelor's,54000,Yes,Sports,No,Public,Engineering,Yes,94,High,1
72,3.5,1140,24,Honors,19,Male,White,High School,40000,No,Music,Yes,Private,Arts,No,85,Medium,0
73,3.6,1220,25,AP,20,Female,Black,Master's,57000,Yes,Debate,No,Public,Science,Yes,90,High,1
74,2.7,1000,21,Regular,21,Male,Hispanic,Associate's,32000,Yes,Drama,Yes,Community,Business,Yes,80,Low,0
75,3.9,1400,31,AP,18,Female,White,Doctorate,74000,No,Volunteer,No,Private,Medicine,Yes,98,High,1
76,3.1,1100,22,Honors,19,Male,Asian,High School,48000,Yes,Sports,Yes,Public,Engineering,No,86,Medium,0
77,3.7,1280,28,AP,18,Female,Hispanic,Bachelor's,59000,Yes,Music,No,Community,Arts,Yes,93,High,1
78,2.8,960,20,Regular,22,Male,Black,Associate's,34000,No,Debate,Yes,Public,Science,No,78,Low,0
79,3.8,1340,30,AP,17,Female,White,Master's,70000,Yes,Drama,No,Private,Business,Yes,96,High,1
80,3.2,1160,23,Honors,20,Male,Hispanic,High School,44000,Yes,Volunteer,Yes,Community,Medicine,No,88,Medium,0
81,3.9,1310,27,AP,18,Female,Asian,Bachelor's,55000,Yes,Sports,No,Public,Engineering,Yes,95,High,1
82,3.4,1150,24,Honors,19,Male,White,High School,41000,No,Music,Yes,Private,Arts,No,86,Medium,0
83,3.5,1230,25,AP,20,Female,Black,Master's,58000,Yes,Debate,No,Public,Science,Yes,91,High,1
84,2.8,1010,21,Regular,21,Male,Hispanic,Associate's,30000,Yes,Drama,Yes,Community,Business,Yes,79,Low,0
85,3.6,1300,29,AP,19,Female,White,Doctorate,72000,No,Volunteer,No,Private,Medicine,Yes,95,High,1
86,3.1,1120,24,Honors,20,Male,Asian,High School,46000,Yes,Sports,Yes,Public,Engineering,No,84,Medium,0
87,3.4,1250,26,AP,18,Female,Hispanic,Bachelor's
87,3.4,1250,26,AP,18,Female,Hispanic,Bachelor's,57000,Yes,Music,No,Community,Arts,Yes,90,High,1
88,2.9,940,20,Regular,22,Male,Black,Associate's,34000,No,Debate,Yes,Public,Science,No,76,Low,0
89,3.7,1350,29,AP,17,Female,White,Master's,65000,Yes,Drama,No,Private,Business,Yes,95,High,1
90,3.2,1140,23,Honors,20,Male,Hispanic,High School,42000,Yes,Volunteer,Yes,Community,Medicine,No,86,Medium,0
91,3.8,1300,27,AP,18,Female,Asian,Bachelor's,54000,Yes,Sports,No,Public,Engineering,Yes,94,High,1
92,3.5,1140,24,Honors,19,Male,White,High School,40000,No,Music,Yes,Private,Arts,No,85,Medium,0
93,3.6,1220,25,AP,20,Female,Black,Master's,57000,Yes,Debate,No,Public,Science,Yes,90,High,1
94,2.7,1000,21,Regular,21,Male,Hispanic,Associate's,32000,Yes,Drama,Yes,Community,Business,Yes,80,Low,0
95,3.9,1400,31,AP,18,Female,White,Doctorate,74000,No,Volunteer,No,Private,Medicine,Yes,98,High,1
96,3.1,1100,22,Honors,19,Male,Asian,High School,48000,Yes,Sports,Yes,Public,Engineering,No,86,Medium,0
97,3.7,1280,28,AP,18,Female,Hispanic,Bachelor's,59000,Yes,Music,No,Community,Arts,Yes,93,High,1
98,2.8,960,20,Regular,22,Male,Black,Associate's,34000,No,Debate,Yes,Public,Science,No,78,Low,0
99,3.8,1340,30,AP,17,Female,White,Master's,70000,Yes,Drama,No,Private,Business,Yes,96,High,1
100,3.2,1160,23,Honors,20,Male,Hispanic,High School,44000,Yes,Volunteer,Yes,Community,Medicine,No,88,Medium,0
